No.,Nama Proyek,Lokasi
1.,"Jalan Tol Serang-Panimbang (83,6km)",Provinsi Banten
2.,"Jalan Tol Pandaan-Malang (37,62km)",Provinsi Jawa Timur
3.,Jalan Tol Manado-Bitung (39km),Provinsi Sulawesi Utara
4.,Jalan Tol Balikpapan-Samarinda (99km),Provinsi Kalimantan Timur
5.,Jalan Tol Medan-Binjai (16km)-bagian dari 8 ruas Trans Sumatera,Provinsi Sumatera Utara
6.,Jalan Tol Palembang-Indralaya (22km)-bagian dari 8 ruas Trans Sumatera,Provinsi Sumatera Selatan
7.,"Jalan Tol Bakauheni-Terbanggi Besar (140,9km)-bagian dari 8 ruas Trans Sumatera",Provinsi Lampung
8.,"Jalan Tol Pekanbaru-Kandis-Dumai (131,5 km)-bagian dari 8 ruas Trans Sumatera",Provinsi Riau
9.,Jalan Tol Terbanggi Besar-Pematang Panggang-bagian dari 8 ruas Trans Sumatera,Provinsi Lampung-Provinsi Sumatera Selatan
10.,Jalan Tol Pematang Panggang-Kayu Agung-bagian dari 8 ruas Trans Sumatera,Provinsi Sumatera Selatan
11.,Jalan Tol Palembang-Tanjung Api-Api-bagian dari 8 ruas Trans Sumatera,Provinsi Sumatera Selatan
12.,Jalan Tol Kisaran-Tebing Tinggi-bagian dari 8 ruas Trans Sumatera,Provinsi Sumatera Utara
13.,Jalan Tol Kayu Agung-Palembang-Betung (112km),Provinsi Sumatera Selatan
14.,Jalan Tol Medan-Kualanamu-Lubuk Pakam-Tebing Tinggi (62km),Provinsi Sumatera Utara
15.,Jalan Tol Soreang-Pasirkoja (11km),Provinsi Jawa Barat
16.,Jalan Tol Cileunyi-Sumedang-Dawuan (59 km),Provinsi Jawa Barat
17.,Jalan Tol Pejagan-Pemalang (58km),Provinsi Jawa Tengah
18.,Jalan Tol Pemalang-Batang (39km),Provinsi Jawa Tengah
19.,Jalan Tol Batang-Semarang (75km),Provinsi Jawa Tengah
20.,Jalan Tol Semarang-Solo (73km),Provinsi Jawa Tengah
21.,Jalan Tol Solo-Ngawi (90km),Provinsi Jawa Tengah-Provinsi Jawa Timur
22.,Jalan Tol Ngawi-Kertosono (87km),Provinsi Jawa Timur
23.,Jalan Tol Kertosono-Mojokerto (41km),Provinsi Jawa Timur
24.,Jalan Tol Mojokerto-Surabaya (36km),Provinsi Jawa Timur
25.,Jalan Tol Ciawi-Sukabumi (54km),Provinsi Jawa Barat
26.,"Jalan Tol Gempol-Pasuruan (34,15km)",Provinsi Jawa Timur
27.,"Jalan Tol Waru (Aloha)-Wonokromo-Tanjung Perak (18,2km)",Provinsi Jawa Timur
28.,Jalan Akses Tanjung Priok (17km),Provinsi DKI Jakarta
29.,"Jalan Tol Cengkareng-Batu-Ceper-Kunciran (14,19km)",Provinsi DKI Jakarta
30.,"Jalan Tol Kunciran-Serpong (11,19km)",Provinsi Banten
