No.,Nama Proyek,Lokasi
1.,Kuala Tanjung,Provinsi Sumatera Utara
2.,Sei Mangkei,Provinsi Sumatera Utara
3.,Tanjung Api-Api,Provinsi Sumatera Selatan
4.,Tanjung Lesung,Provinsi Banten
5.,Landak,Provinsi Kalimantan Barat
6.,Ketapang,Provinsi Kalimantan Barat
7.,Tanggamus,Provinsi Lampung
8.,Batulicin,Provinsi Kalimantan Selatan
9.,Jorong,Provinsi Kalimantan Selatan
10.,Maloy Batuta Trans Kalimantan,Provinsi Kalimantan Timur
11.,Palu,Provinsi Sulawesi Tengah
12.,Bantaeng,Provinsi Sulawesi Selatan
13.,Bitung,Provinsi Sulawesi Utara
14.,Morowali,Provinsi Sulawesi Tengah
15.,Konawe,Provinsi Sulawesi Tenggara
16.,Mandalika,Provinsi Nusa Tenggara Barat
17.,"Buli, Halmahera Timur",Provinsi Maluku Utara
18.,Morotai,Provinsi Maluku Utara
19.,Teluk Bintuni,Provinsi Papua Barat
20.,Belitung,Provinsi Bangka Belitung
21.,Kendal,Provinsi Jawa Tengah
22., Dumai, Provinsi Riau
23., Tanjung Buton, Provinsi Riau
24., Tanah Kuning, Provinsi Kalimantan Utara
25., Wilmar Serang, Provinsi Banten
26.,Percepatan infrastruktur Kawasan Ekonomi Khusus Sorong,Provinsi Papua Barat
27.,Percepatan infrastruktur Kawasan Ekonomi Khusus Lhokseumawe,Provinsi Aceh
28.,Percepatan infrastruktur Kawasan Ekonomi Khusus Merauke,Provinsi Papua
29.,Java Integrated Industrial Port Estate (JIIPE) Gresik,Jawa Timur
30.,"Percepatan infrastruktur transportasi, listrik, dan air bersih untuk 10 kawasan strategis pariwisata nasional (KSPN) Prioritas Danau Toba, Pulau Seribu, Tanjung Lesung dan 7 kawasan lainnya","Provinsi Sumatera Utara, Provinsi DKI Jakarta, Provisi Banten, Provinsi Jawa Timur, Provinsi Nusa Tenggara Timur, Provinsi Nusa Tenggara Barat, Provinsi Maluku Utara, Provinsi DI Yogyakarta, Provisi Sulawesi Tenggara dan Provinsi Bangka Belitung"
