No.,Nama Proyek,Lokasi
1.,Pengembangan pelabuhan internasional Kuala Tanjung,Provinsi Sumatera Utara
2.,Pengembangan pelabuhan hub internasional Bitung,Provinsi Sulawesi Utara
3.,Pelabuhan KEK Maloy,Provinsi Kalimantan Timur
4.,Inland Waterways/CBL Cikarang-Bekasi- Laut Jawa,"Provinsi DKI Jakarta, Provinsi Jawa Barat"
5.,Pembangunan Pelabuhan Patimban,Provinsi Jawa Barat
6.,Pembangunan Pelabuhan Sorong,Provinsi Papua Barat
7.,Makassar New Port,Provinsi Sulawesi Selatan
8.,"Pengembangan pelabuhan Palu (Pantoloan, Teluk Palu)",Provinsi Sulawesi Tengah
9.,Pengembangan Pelabuhan Kijing,Provinsi Kalimantan Barat
10.,Pengembangan Pelabuhan Kupang,Provinsi Nusa Tenggara Timur
