No.,Nama Proyek,Lokasi
1.,Kereta Api Makassar-Parepare (Tahap I dari pengembangan jalur Lintas Barat Sulawesi Bag. Selatan),Provinsi Sulawesi Selatan
2.,Kereta Api Prabumulih-Kertapati (80km-bagian dari Jaringan Kereta Api Trans Sumatera),Provinsi Sumatera Selatan
3.,Kereta Api Kertapati-Simpang-Tanjung Api-Api (bagian dari Jaringan Kereta Api Trans Sumatera),Provinsi Sumatera Selatan
4.,"Kereta Api Tebing Tinggi-Kuala Tanjung (Mendukung KEK Sei Mangkei, bagian dari Jaringan Kereta Api Trans Sumatera)",Provinsi Sumatera Utara
5.,Kereta Api Purukcahu-Bangkuang,Provinsi Kalimantan Tengah
6.,Pembangunan rel Kereta Api Provinsi Kalimantan Timur,Provinsi Kalimantan Timur
7.,Double Track Jawa Selatan,"Provinsi Jawa Barat, Provinsi Jawa Tengah, Provinsi DI Yogyakarta, dan Provinsi Jawa Timur"
8.,High Speed Train Jakarta-Bandung,Provinsi DKI Jakarta-Provinsi Jawa Barat
9.,Kereta Api Muara Enim-Pulau Baai,Provinsi Bengkulu-Provinsi Sumatera Selatan
10.,Kereta Api Tanjung Enim-Tanjung Api-Api,Provinsi Sumatera Selatan
11.,Kereta Api Jambi-Pekanbaru,Provinsi Jambi-Provinsi Riau
12.,Kereta Api Jambi-Palembang,Provinsi Jambi-Provinsi Sumatera Selatan
13.,Kereta Api Rantau Prapat-Duri-Pekanbaru, Sumatera Utara-Riau
14.,Kereta Api Akses Bandara Baru Yogyakarta-Kulon Progo, D.I. Yogyakarta
15.,Kereta Api Jakarta-Surabaya, DKI Jakarta-Jawa Timur
16.,Kereta Api Akses Bandara Adi Sumarmo, Jawa Tengah
17.,Mass Rapid Transit (MRT) Jakarta Koridor North-South,Provinsi DKI Jakarta
18.,Mass Rapid Transit (MRT) Jakarta Koridor East-West,Provinsi DKI Jakarta
19.,Kereta api ekspres SHIA (Soekarno Hatta-Sudirman),Provinsi DKI Jakarta-Provinsi Banten
20.,Jabodetabek Circular Line,Provinsi DKI Jakarta
21.,"Penyelenggaraan Kereta Api Ringan/Light Rail Transit (LRT) Terintegrasi di Wilayah Jakarta, Bogor, Depok dan Bekasi",Provinsi DKI Jakarta-Provinsi Jawa Barat
22.,Penyelenggaraan Perkeretaapian Umum di wilayah Provinsi DKI Jakarta,Provinsi DKI Jakarta
23.,Light Rail Transit (LRT) Sumatera Selatan (Metro Palembang),Provinsi Sumatera Selatan
