No.,Nama Proyek,Lokasi
1.,Bendungan Marangkayu,Provinsi Kalimantan Timur
2.,Bendungan Kuningan,Provinsi Jawa Barat
3.,Bendungan Bendo,Provinsi Jawa Timur
4.,Bendungan Gongseng,Provinsi Jawa Timur
5.,Bendungan Tukul,Provinsi Jawa Timur
6.,Bendungan Gondang,Provinsi Jawa Tengah
7.,Bendungan Pidekso,Provinsi Jawa Tengah
8.,Bendungan Tugu,Provinsi Jawa Timur
9.,Bendungan Teritip,Provinsi Kalimantan Timur
10.,Bendungan Karalloe,Provinsi Sulawesi Selatan
11.,Bendungan Keureuto,Provinsi Aceh
12.,Bendungan Muara Sei Gong,Provinsi Kepulauan Riau
13.,Bendungan Tapin,Provinsi Kalimantan Selatan
14.,Bendungan Passeloreng,Provinsi Sulawesi Selatan
15.,Bendungan Lolak,Provinsi Sulawesi Utara
16.,Bendungan Raknamo,Provinsi Nusa Tenggara Timur
17.,Bendungan Rotiklod,Provinsi Nusa Tenggara Timur
18.,Bendungan Bintang Bano,Provinsi Nusa Tenggara Barat
19.,Bendungan Mila,Provinsi Nusa Tenggara Barat
20.,Bendungan Tanju,Provinsi Nusa Tenggara Barat
21.,Bendungan Sindang Heula,Provinsi Banten
22.,Bendungan Logung,Provinsi Jawa Tengah
23.,Bendungan Karian,Provinsi Banten
24.,Bendungan Rukoh,Provinsi Aceh
25.,Bendungan Way Sekampung,Provinsi Lampung
26.,Bendungan Kuwil Kawangkoan,Provinsi Sulawesi Utara
27.,Bendungan Ladongi,Provinsi Sulawesi Tenggara
28.,Bendungan Ciawi,Provinsi Jawa Barat
29.,Bendungan Sukamahi,Provinsi Jawa Barat
30.,Bendungan Leuwikeris,Provinsi Jawa Barat
31.,Bendungan Cipanas,Provinsi Jawa Barat
32.,Bendungan Komering II,Provinsi Sumatera Selatan
33.,Bendungan Semantok,Provinsi Jawa Timur
34.,Bendungan Pamukkulu,Provinsi Sulawesi Selatan
35.,Bendungan Bener,Provinsi Jawa Tengah
36.,Bendungan Sadawarna,Provinsi Jawa Barat
37.,Bendungan Tiro,Provinsi Aceh
38.,Bendungan Lausimeme,Provinsi Sumatera Utara
39.,Bendungan Kolhua,Provinsi Nusa Tenggara Timur
40.,Bendungan Sidan,Provinsi Bali
41.,Bendungan Telaga Waja,Provinsi Bali
42.,Bendungan Pelosika,Provinsi Sulawesi Tenggara
43.,Bendungan Jenelata,Provinsi Sulawesi Selatan
44.,Bendungan Matenggeng,Provinsi Jawa Barat
45.,Bendungan Marga III,Provinsi Lampung
46.,Bendungan Bagong,Provinsi Jawa Timur
47.,Bendungan Randugunting,Provinsi Jawa Tengah
48.,Bendungan Rokan Kiri,Provinsi Lampung
49.,Bendungan Mbay,Provinsi Nusa Tenggara Timur
50.,Bendungan Bolangohulu,Provinsi Gorontalo
51.,Bendungan Napungete, Nusa Tenggara Timur
52.,Bendungan Temef, Nusa Tenggara Timur
53.,Bendungan Way Apu, Maluku
54.,Bendungan Meninting, Nusa Tenggara Barat
