No.,Nama Proyek,Lokasi
1.,Kilang Minyak Bontang,Provinsi Kalimantan Timur
2.,Kilang Minyak Tuban (ekspansi),Provinsi Jawa Timur
3.,Upgrading kilang-kilang eksisting (RDMP),"Provinsi Jawa Tengah, Provinsi Kepulauan Riau, Provinsi Sumatera Selatan, Provinsi Jawa Barat dan Provinsi Kalimantan Timur"
4.,Pembangunan Jaringan Gas Bumi untuk Rumah Tangga,"Provinsi Sumatera, Kalimantan dan Jawa"
5.,Konstruksi Tangki Penyimpanan BBM,Indonesia Bagian Timur
6.,Konstruksi Tangki Penyimpanan LPG,Indonesia Bagian Timur
7.,Pengembangan Lapangan Abadi Wilayah Kerja Masela,Provinsi Maluku
8.,"Pengembangan Lapangan Gendalo, Maha, Gandang, Gahem, dan Bangka (Indonesia Deepwater Development Project/IDD)",Provinsi Kalimantan Timur
9.,Proyek Tangguh LNG Train 3,Provinsi Papua Barat
10.,Pengembangan Lapangan Jangkrik dan Jangkrik North East Wilayah Kerja Muara Bakau,Provinsi Kalimantan Timur
11.,Pengembangan Lapangan Unitisasi Gas Jambaran-Tiung Biru,Provinsi Jawa Timur
12.,"Energi asal sampah kota-kota besar (Semarang, Makassar, Tangerang)","Provinsi Jawa Tengah, Provinsi Sulawesi Selatan, Provinsi Banten"
